# Created from biom table																																								
#OTU ID	ECOLI	EXTBLK1	EXTBLK2	EXTBLK	FB200	FB20	FB5	FB60	FBF	NO15200	NO1520	NO155	NO1560	NO15F	NO7200	NO720	NO75	NO760	NO7F	PCRBLK	SM01200	SM0120	SM015	SM0160	SM01F	SM02200	SM0220	SM025	SM0260	SM02F	SM29200	SM2920	SM295	SM2960	SM29F	SM31200	SM3120	SM315	SM3160	SM31F
Otu123	0	0	0	0	0	0	0	0	0	4	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu124	0	0	0	0	0	0	0	0	0	209	86	102	277	69	168	44	40	56	106	0	26	4	10	14	16	289	102	176	204	367	51	5	3	5	18	117	84	222	87	458
Otu125	0	0	0	0	0	0	0	72	0	688	625	447	636	32	486	689	611	738	346	33	56	13	5	47	6	39	18	38	33	10	192	327	268	262	125	601	468	284	536	47
Otu126	2	0	0	0	12	0	70	0	0	1367	1707	1433	1481	492	3858	3159	4708	3976	4808	66	1620	333	337	621	420	2245	950	1131	1745	548	1018	1571	1656	1523	938	1582	1621	1759	1980	285
Otu127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	21	60	103	130	85	8	24	59	57	1	2	1	1	3	8	7	10	4	21
Otu128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	1	2	13	11	8	15	30
Otu129	0	0	0	0	0	0	0	0	0	3	4	4	0	1	4	1	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu130	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu131	0	0	0	0	0	0	0	0	0	2	0	3	2	1	0	1	3	2	5	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	2	4	5	5	12
Otu132	0	0	0	0	0	0	0	0	0	5	8	7	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	4	3	0	0	0	0	0	0
Otu133	0	0	0	0	0	0	0	0	0	11	5	1	7	2	0	0	0	1	1	0	1	1	2	5	0	54	31	30	53	21	6	3	4	7	5	0	0	0	0	0
Otu134	0	0	0	0	0	0	0	0	0	40	9	8	17	11	0	0	0	0	0	0	20	5	4	21	20	19	8	3	13	19	108	38	13	89	8	9	3	4	5	2
Otu135	0	0	0	0	0	0	0	0	0	42	58	55	42	14	245	214	323	235	162	0	24	4	4	20	2	26	16	19	14	38	54	95	64	87	15	27	11	6	10	3
Otu136	0	0	0	0	0	0	0	0	0	32	30	30	28	3	244	246	306	213	223	0	96	68	74	173	159	10	10	4	10	5	417	618	574	567	153	274	311	125	329	88
Otu137	0	0	0	0	0	0	0	0	0	323	436	377	298	168	294	315	343	286	254	0	63	24	20	45	24	85	86	40	85	23	247	361	388	369	193	133	124	65	150	20
Otu138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	1	2	5	3	5	3	0	0	0	0	0	0	0	0	0	0
Otu139	0	0	0	0	0	0	0	0	0	6	6	5	3	3	4	1	2	1	9	0	0	0	0	0	1	0	3	0	1	1	0	0	0	0	0	2	3	0	0	0
Otu140	0	0	0	0	0	0	0	0	0	1	0	0	1	0	18	16	13	14	18	0	29	18	12	36	20	159	125	84	128	48	21	52	45	39	20	22	40	15	26	4
Otu141	0	0	0	0	0	0	0	0	0	964	62	79	305	43	196	13	9	42	9	0	1	0	0	0	16	6	3	19	6	46	4	0	0	2	8	33	26	542	36	2103
Otu142	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	6	0	0	1	19	10	9	13	5	31
Otu144	0	0	0	0	0	0	0	0	0	12	2	1	16	0	37	11	4	26	8	0	0	0	0	0	0	0	0	0	0	0	25	1	0	3	2	0	0	1	1	0
Otu145	0	0	0	0	0	0	0	0	0	95	71	77	82	139	16	15	7	15	3	0	0	4	1	3	0	37	39	34	44	32	2	2	2	2	0	0	0	0	0	0
Otu146	0	0	0	0	0	0	0	0	0	268	265	255	196	40	1878	2267	2066	1426	714	0	882	115	62	453	71	781	278	220	621	54	635	845	604	747	268	471	474	212	377	33
Otu147	0	96	0	0	0	0	0	0	0	34	10	11	40	11	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	24	21	15	22	95	4	2	2	1	3
Otu148	0	0	0	0	0	0	0	0	0	727	1406	546	725	63	172	168	197	183	65	33	6	8	8	4	3	4	0	3	6	1	95	123	116	126	42	4	8	4	9	1
Otu149	0	0	0	0	0	0	0	0	0	13	11	14	16	10	0	1	1	0	0	0	0	1	0	0	0	0	3	0	2	0	20	15	12	13	4	0	0	0	1	0
Otu150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	2	7	7	1	3	1	0	1	0	3	3	1	9	2	4	2	3	2
Otu151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	5	19	0	26	12	55	0	0	0	0	0	3	4	1	1	1
Otu152	0	0	0	0	0	0	0	0	0	7	4	2	7	1	1	7	1	1	1	0	3	2	1	3	1	406	271	202	394	1069	2	0	0	0	0	7	4	6	6	8
Otu153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
